2025-04-25 09:22:20 | INFO | ui.customize_ui.customize_charts : customize_charts:397 | charts_tab1_right_1‘s data’s min&max x=[1745544132.386,1745544139.88] y=[-36.74519468423518,89.03478297310645]
2025-04-25 09:22:20 | INFO | ui.customize_ui.customize_charts : customize_charts:397 | charts_tab1_left_bottom_2‘s data’s min&max x=[1745544132.386,1745544139.88] y=[-36.74519468423518,89.03478297310645]
2025-04-25 09:22:20 | INFO | ui.customize_ui.customize_charts : customize_charts:397 | charts_tab1_left_bottom_1‘s data’s min&max x=[1745544133.415,1745544139.88] y=[-36.74519468423518,89.03478297310645]
2025-04-25 09:22:21 | INFO | ui.customize_ui.customize_charts : customize_charts:397 | charts_tab1_right_3‘s data’s min&max x=[1745544132.386,1745544140.919] y=[-36.74519468423518,89.03478297310645]
2025-04-25 09:22:21 | INFO | ui.customize_ui.customize_charts : customize_charts:397 | charts_tab1_right_2‘s data’s min&max x=[1745544132.386,1745544140.919] y=[-36.74519468423518,89.03478297310645]
2025-04-25 09:22:21 | INFO | ui.customize_ui.customize_charts : customize_charts:397 | charts_tab1_right_1‘s data’s min&max x=[1745544132.386,1745544140.919] y=[-36.74519468423518,89.03478297310645]
2025-04-25 09:22:21 | INFO | ui.customize_ui.customize_charts : customize_charts:397 | charts_tab1_left_bottom_2‘s data’s min&max x=[1745544132.386,1745544140.919] y=[-36.74519468423518,89.03478297310645]
2025-04-25 09:22:21 | ERROR | ui.customize_ui.customize_charts : customize_charts:196 | charts_tab1_left_bottom_1|683|53.066892949297255|2025-04-25/09:22:20.919
2025-04-25 09:22:21 | ERROR | ui.customize_ui.customize_charts : customize_charts:197 | [0, 0]|[0, 0]|[True, True]
2025-04-25 09:22:21 | INFO | ui.customize_ui.customize_charts : customize_charts:397 | charts_tab1_left_bottom_1‘s data’s min&max x=[1745544133.415,1745544140.919] y=[-36.74519468423518,89.03478297310645]
2025-04-25 09:22:22 | INFO | ui.customize_ui.customize_charts : customize_charts:397 | charts_tab1_right_3‘s data’s min&max x=[1745544132.386,1745544141.986] y=[-43.56920841065259,89.03478297310645]
2025-04-25 09:22:22 | INFO | ui.customize_ui.customize_charts : customize_charts:397 | charts_tab1_right_2‘s data’s min&max x=[1745544132.386,1745544141.986] y=[-43.56920841065259,89.03478297310645]
