2025-05-22 16:51:24 | INFO |MainProcess | MainThread |  __main__ : main:78 | p_deep_camera子进程开始运行
2025-05-22 16:51:24 | INFO |MainProcess | MainThread |  __main__ : main:85 | p_infrared_camera子进程开始运行
2025-05-22 16:51:24 | INFO |MainProcess | MainThread |  __main__ : main:92 | p_gui子进程开始运行
2025-05-22 16:52:38 | INFO |MainProcess | MainThread |  __main__ : main:62 | ----------------------------------------main_start----------------------------------------
2025-05-22 16:52:38 | INFO |MainProcess | MainThread |  __main__ : main:70 | p_comm子进程开始运行
2025-05-22 16:52:38 | INFO |MainProcess | MainThread |  __main__ : main:78 | p_deep_camera子进程开始运行
2025-05-22 16:52:38 | INFO |MainProcess | MainThread |  __main__ : main:85 | p_infrared_camera子进程开始运行
2025-05-22 16:52:38 | INFO |MainProcess | MainThread |  __main__ : main:92 | p_gui子进程开始运行
2025-05-22 16:53:48 | INFO |MainProcess | MainThread |  __main__ : main:62 | ----------------------------------------main_start----------------------------------------
2025-05-22 16:53:48 | INFO |MainProcess | MainThread |  __main__ : main:70 | p_comm子进程开始运行
2025-05-22 16:53:48 | INFO |MainProcess | MainThread |  __main__ : main:78 | p_deep_camera子进程开始运行
2025-05-22 16:53:48 | INFO |MainProcess | MainThread |  __main__ : main:85 | p_infrared_camera子进程开始运行
2025-05-22 16:53:48 | INFO |MainProcess | MainThread |  __main__ : main:92 | p_gui子进程开始运行
2025-05-22 16:54:04 | ERROR |MainProcess | MainThread |  __main__ : main:103 | p_gui子进程已停止，同步终止p_comm子进程
2025-05-22 16:54:04 | ERROR |MainProcess | MainThread |  __main__ : main:107 | 终止p_comm子进程
2025-05-22 16:54:47 | INFO |MainProcess | MainThread |  __main__ : main:62 | ----------------------------------------main_start----------------------------------------
2025-05-22 16:54:47 | INFO |MainProcess | MainThread |  __main__ : main:70 | p_comm子进程开始运行
2025-05-22 16:54:47 | INFO |MainProcess | MainThread |  __main__ : main:78 | p_deep_camera子进程开始运行
2025-05-22 16:54:47 | INFO |MainProcess | MainThread |  __main__ : main:85 | p_infrared_camera子进程开始运行
2025-05-22 16:54:47 | INFO |MainProcess | MainThread |  __main__ : main:92 | p_gui子进程开始运行
2025-05-22 16:55:32 | INFO |MainProcess | MainThread |  __main__ : main:62 | ----------------------------------------main_start----------------------------------------
2025-05-22 16:55:32 | INFO |MainProcess | MainThread |  __main__ : main:70 | p_comm子进程开始运行
2025-05-22 16:55:32 | INFO |MainProcess | MainThread |  __main__ : main:78 | p_deep_camera子进程开始运行
2025-05-22 16:55:32 | INFO |MainProcess | MainThread |  __main__ : main:85 | p_infrared_camera子进程开始运行
2025-05-22 16:55:32 | INFO |MainProcess | MainThread |  __main__ : main:92 | p_gui子进程开始运行
2025-05-22 16:56:35 | ERROR |MainProcess | MainThread |  __main__ : main:103 | p_gui子进程已停止，同步终止p_comm子进程
2025-05-22 16:56:36 | ERROR |MainProcess | MainThread |  __main__ : main:107 | 终止p_comm子进程
2025-05-22 16:58:25 | INFO |MainProcess | MainThread |  __main__ : main:62 | ----------------------------------------main_start----------------------------------------
2025-05-22 16:58:25 | INFO |MainProcess | MainThread |  __main__ : main:70 | p_comm子进程开始运行
2025-05-22 16:58:25 | INFO |MainProcess | MainThread |  __main__ : main:78 | p_deep_camera子进程开始运行
2025-05-22 16:58:25 | INFO |MainProcess | MainThread |  __main__ : main:85 | p_infrared_camera子进程开始运行
2025-05-22 16:58:25 | INFO |MainProcess | MainThread |  __main__ : main:92 | p_gui子进程开始运行
2025-05-22 16:58:34 | ERROR |MainProcess | MainThread |  __main__ : main:103 | p_gui子进程已停止，同步终止p_comm子进程
2025-05-22 16:58:34 | ERROR |MainProcess | MainThread |  __main__ : main:107 | 终止p_comm子进程
